"","number","name","position","height","weight","class","hometown","player_image"
"1",0,"Bobby Pettiford","G","6' 1""","190 lbs","FR","Durham, NC","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683841.png"
"2",1,"Joseph Yesufu","G","6' 0""","180 lbs","SO","Bolingbrook, IL","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431856.png"
"3",2,"Christian Braun","G","6' 6""","218 lbs","JR","Burlington, KS","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431767.png"
"4",3,"Dajuan Harris Jr.","G","6' 1""","170 lbs","SO","Columbia, MO","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431983.png"
"5",5,"Kyle Cuffe Jr.","G","6' 2""","180 lbs","FR","Harlem, NY","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4816087.png"
"6",10,"Jalen Wilson","F","6' 8""","225 lbs","SO","Denton, TX","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431714.png"
"7",11,"Remy Martin","G","6' 0""","175 lbs","SR","Burbank, CA","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278133.png"
"8",12,"Chris Teahan","G","6' 4""","195 lbs","SR","Leawood, KS","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4277893.png"
"9",13,"Charlie McCarthy","G","6' 2""","195 lbs","FR","Rancho Mirage, CA","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897490.png"
"10",15,"Dillon Wilhite","F","6' 9""","240 lbs","FR","San Diego, CA","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897491.png"
"11",20,"Michael Jankovich","G","6' 5""","190 lbs","JR","Dallas, TX","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592210.png"
"12",21,"Zach Clemence","F","6' 10""","225 lbs","FR","San Antonio, TX","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683146.png"
"13",24,"K.J. Adams","F","6' 7""","225 lbs","FR","Austin, TX","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433259.png"
"14",30,"Ochai Agbaji","G","6' 5""","215 lbs","SR","Kansas City, MO","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397018.png"
"15",31,"Cam Martin","F","6' 9""","230 lbs","SR","Yukon, OK","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897492.png"
"16",33,"David McCormack","F","6' 10""","250 lbs","SR","Norfolk, VA","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397019.png"
"17",44,"Mitch Lightfoot","F","6' 8""","225 lbs","SR","Gilbert, AZ","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066300.png"
"18",55,"Jalen Coleman-Lands","G","6' 4""","190 lbs","SR","Indianapolis, IN","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/3911842.png"
